date,pacientes_uti_ultimo_dia,total_passengers
2020-03-15,,7459664.571428572
2020-03-16,,7248699.285714285
2020-03-17,,6898401.142857143
2020-03-18,,6473807.428571428
2020-03-19,,5961029.428571428
2020-03-20,,5377446.142857143
2020-03-21,,4979208.142857143
2020-03-22,,4757520.857142857
2020-03-23,,4115909.4285714286
2020-03-24,,3506764.5714285714
2020-03-25,,2967777.4285714286
2020-03-26,,2531229.0
2020-03-27,,2223034.8571428573
2020-03-28,,2132228.5714285714
2020-03-29,,2100842.8571428573
2020-03-30,,2033392.4285714286
2020-03-31,,2020122.2857142857
2020-04-01,,2045737.142857143
2020-04-02,,2065581.2857142857
2020-04-03,,2080763.4285714286
2020-04-04,,2096658.5714285714
2020-04-05,,2104892.1428571427
2020-04-06,,2152280.285714286
2020-04-07,,2224183.1428571427
2020-04-08,,2267513.0
2020-04-09,,2328289.5714285714
2020-04-10,,2143267.0
2020-04-11,,2146433.8571428573
2020-04-12,,2151393.714285714
2020-04-13,,2134509.0
2020-04-14,,2113641.5714285714
2020-04-15,,2093942.7142857143
2020-04-16,,2062674.857142857
2020-04-17,,2275967.714285714
2020-04-18,,2283274.1428571427
2020-04-19,,2279220.285714286
2020-04-20,,2222113.4285714286
2020-04-21,,2020768.7142857143
2020-04-22,,2034547.857142857
2020-04-23,,2055614.0
2020-04-24,,2077497.857142857
2020-04-25,,2089995.7142857143
2020-04-26,,2100363.8571428573
2020-04-27,,2185830.1428571427
2020-04-28,,2399528.0
2020-04-29,,2415588.8571428573
2020-04-30,,2434733.714285714
2020-05-01,,2207326.1428571427
2020-05-02,,2173978.0
2020-05-03,,2165376.285714286
2020-05-04,,2169433.1428571427
2020-05-05,,2586685.285714286
2020-05-06,,2584311.1428571427
2020-05-07,,2576028.1428571427
2020-05-08,,2822052.285714286
2020-05-09,,2854395.714285714
2020-05-10,,2864780.4285714286
2020-05-11,,2894469.714285714
2020-05-12,,2529715.8571428573
2020-05-13,,2548929.285714286
2020-05-14,,2560446.0
2020-05-15,,2551173.4285714286
2020-05-16,,2542408.8571428573
2020-05-17,,2547767.0
2020-05-18,,2507845.5714285714
2020-05-19,,2450158.5714285714
2020-05-20,,2296160.4285714286
2020-05-21,,2160199.4285714286
2020-05-22,,2093733.7142857143
2020-05-23,,2052997.857142857
2020-05-24,,2019116.142857143
2020-05-25,2464.0,1874616.857142857
2020-05-26,2481.285714285714,1912113.4285714286
2020-05-27,2500.4285714285716,2017315.0
2020-05-28,2533.714285714286,2141069.0
2020-05-29,2543.1428571428573,2201012.1428571427
2020-05-30,2560.285714285714,2245337.285714286
2020-05-31,2556.4285714285716,2268258.1428571427
2020-06-01,2584.4285714285716,2425389.5714285714
2020-06-02,2606.285714285714,2378058.714285714
2020-06-03,2610.4285714285716,2420225.1428571427
2020-06-04,2607.8571428571427,2447702.0
2020-06-05,2606.8571428571427,2482651.1428571427
2020-06-06,2605.0,2504812.8571428573
2020-06-07,2610.0,2520152.714285714
2020-06-08,2602.4285714285716,2568774.0
2020-06-09,2599.5714285714284,2663740.4285714286
2020-06-10,2609.4285714285716,2717162.714285714
2020-06-11,2638.285714285714,2722721.0
2020-06-12,2666.285714285714,2758226.0
2020-06-13,2688.714285714286,2781742.5714285714
2020-06-14,2702.4285714285716,2768623.285714286
2020-06-15,2721.714285714286,2815294.8571428573
2020-06-16,2730.8571428571427,2833633.0
2020-06-17,2731.8571428571427,2861308.5714285714
2020-06-18,2701.5714285714284,2940819.714285714
2020-06-19,2703.5714285714284,2989132.4285714286
2020-06-20,2695.8571428571427,3038315.5714285714
2020-06-21,2689.285714285714,3068908.5714285714
2020-06-22,2678.1428571428573,3096819.8571428573
2020-06-23,2664.1428571428573,3142013.4285714286
2020-06-24,2646.4285714285716,3170322.285714286
2020-06-25,2638.8571428571427,3154028.285714286
2020-06-26,2616.8571428571427,3069576.714285714
2020-06-27,2601.1428571428573,3005734.0
2020-06-28,2582.5714285714284,3007548.5714285714
2020-06-29,2566.285714285714,3006879.0
2020-06-30,2558.285714285714,3005229.4285714286
2020-07-01,2543.1428571428573,2945116.285714286
2020-07-02,2533.714285714286,3004140.8571428573
2020-07-03,2511.714285714286,3132050.714285714
2020-07-04,2491.714285714286,3226877.0
2020-07-05,2488.1428571428573,3237839.0
2020-07-06,2486.714285714286,3226854.285714286
2020-07-07,2476.4285714285716,3299886.714285714
2020-07-08,2474.285714285714,3422358.8571428573
2020-07-09,2472.1428571428573,3381284.5714285714
2020-07-10,2478.4285714285716,3421951.714285714
2020-07-11,2488.714285714286,3452335.0
2020-07-12,2483.285714285714,3473858.0
2020-07-13,2476.5714285714284,3551807.4285714286
2020-07-14,2481.714285714286,3540227.285714286
2020-07-15,2495.1428571428573,3540523.714285714
2020-07-16,2493.714285714286,3602043.0
2020-07-17,2478.5714285714284,3557885.5714285714
2020-07-18,2469.5714285714284,3506936.4285714286
2020-07-19,2439.4285714285716,3465258.5714285714
2020-07-20,2401.5714285714284,3469849.1428571427
2020-07-21,2383.4285714285716,3481206.285714286
2020-07-22,2368.1428571428573,3448285.1428571427
2020-07-23,2363.1428571428573,3349767.8571428573
2020-07-24,2362.5714285714284,3391245.5714285714
2020-07-25,2354.0,3434459.4285714286
2020-07-26,2359.5714285714284,3464912.1428571427
2020-07-27,2375.1428571428573,3416488.0
2020-07-28,2366.8571428571427,3310210.285714286
2020-07-29,2342.285714285714,3372434.1428571427
2020-07-30,2318.4285714285716,3494770.0
2020-07-31,2300.4285714285716,3526248.714285714
2020-08-01,2285.4285714285716,3556617.1428571427
2020-08-02,2274.1428571428573,3577630.5714285714
2020-08-03,2260.285714285714,3665921.5714285714
2020-08-04,2240.5714285714284,3822531.8571428573
2020-08-05,2235.5714285714284,3863618.8571428573
2020-08-06,2229.714285714286,3918481.1428571427
2020-08-07,2214.285714285714,3958865.1428571427
2020-08-08,2195.5714285714284,3975290.714285714
2020-08-09,2175.5714285714284,3980059.1428571427
2020-08-10,2148.714285714286,3887689.5714285714
2020-08-11,2138.0,3905056.285714286
2020-08-12,2120.4285714285716,3916900.1428571427
2020-08-13,2090.1428571428573,3920320.8571428573
2020-08-14,2066.8571428571427,3912142.8571428573
2020-08-15,2053.5714285714284,3896876.1428571427
2020-08-16,2047.2857142857142,3869991.4285714286
2020-08-17,2044.2857142857142,3951484.1428571427
2020-08-18,2029.5714285714287,3908771.1428571427
2020-08-19,2017.2857142857142,3892267.1428571427
2020-08-20,2013.7142857142858,3854786.8571428573
2020-08-21,2006.857142857143,3738526.4285714286
2020-08-22,1985.857142857143,3672876.714285714
2020-08-23,1967.5714285714287,3658688.1428571427
2020-08-24,1948.2857142857142,3688482.0
2020-08-25,1929.7142857142858,3731582.714285714
2020-08-26,1908.7142857142858,3752979.4285714286
2020-08-27,1890.5714285714287,3794694.0
2020-08-28,1877.5714285714287,3908216.0
2020-08-29,1866.4285714285713,3949940.285714286
2020-08-30,1859.2857142857142,3964711.714285714
2020-08-31,1859.7142857142858,3942510.714285714
2020-09-01,1862.142857142857,3940643.285714286
2020-09-02,1864.857142857143,3917030.5714285714
2020-09-03,1865.4285714285713,3836673.8571428573
2020-09-04,1863.5714285714287,3849881.8571428573
2020-09-05,1864.5714285714287,3880060.1428571427
2020-09-06,1859.2857142857142,3900599.714285714
2020-09-07,1851.2857142857142,3493225.285714286
2020-09-08,1840.7142857142858,3531025.5714285714
2020-09-09,1830.142857142857,3565881.8571428573
2020-09-10,1818.5714285714287,3651914.8571428573
2020-09-11,1806.142857142857,3619736.285714286
2020-09-12,1789.7142857142858,3580441.714285714
2020-09-13,1778.857142857143,3554817.285714286
2020-09-14,1765.857142857143,3993683.1428571427
2020-09-15,1750.5714285714287,3950549.4285714286
2020-09-16,1737.857142857143,3863184.714285714
2020-09-17,1729.7142857142858,3882868.1428571427
2020-09-18,1712.7142857142858,3901567.8571428573
2020-09-19,1701.857142857143,3930483.1428571427
2020-09-20,1683.857142857143,3934154.1428571427
2020-09-21,1660.857142857143,3941016.0
2020-09-22,1642.857142857143,3940338.714285714
2020-09-23,1624.857142857143,4037353.0
2020-09-24,1599.5714285714287,4042944.8571428573
2020-09-25,1576.142857142857,4073783.4285714286
2020-09-26,1557.857142857143,4080560.285714286
2020-09-27,1543.2857142857142,4099099.1428571427
2020-09-28,1539.5714285714287,4090693.714285714
2020-09-29,1531.4285714285713,4114806.0
2020-09-30,1518.857142857143,4053723.0
2020-10-01,1513.857142857143,4073003.5714285714
2020-10-02,1520.2857142857142,4080082.285714286
2020-10-03,1515.4285714285713,4095174.4285714286
2020-10-04,1509.5714285714287,4091477.8571428573
2020-10-05,1495.857142857143,4147536.4285714286
2020-10-06,1493.142857142857,4196747.714285715
2020-10-07,1495.5714285714287,4287096.714285715
2020-10-08,1487.142857142857,4209604.428571428
2020-10-09,1478.7142857142858,4160955.8571428573
2020-10-10,1472.4285714285713,4206217.857142857
2020-10-11,1455.0,4252150.857142857
2020-10-12,1440.7142857142858,3806729.285714286
2020-10-13,1428.142857142857,3728722.1428571427
2020-10-14,1407.857142857143,3752873.0
2020-10-15,1400.4285714285713,3800626.285714286
2020-10-16,1377.4285714285713,3816813.285714286
2020-10-17,1358.0,3742509.0
2020-10-18,1344.7142857142858,3676727.714285714
2020-10-19,1328.4285714285713,4099593.0
2020-10-20,1293.142857142857,4155336.5714285714
2020-10-21,1267.0,4116908.285714286
2020-10-22,1237.142857142857,4062025.5714285714
2020-10-23,1221.2857142857142,4131062.285714286
2020-10-24,1206.142857142857,4178187.4285714286
2020-10-25,1194.4285714285713,4211137.857142857
2020-10-26,1185.7142857142858,4100328.4285714286
2020-10-27,1190.0,4139580.0
2020-10-28,1196.2857142857142,4175048.714285714
2020-10-29,1201.2857142857142,4287918.428571428
2020-10-30,1201.0,4205353.285714285
2020-10-31,1205.142857142857,4184209.4285714286
2020-11-01,1210.2857142857142,4207367.0
2020-11-02,1217.0,3903819.5714285714
2020-11-03,1217.142857142857,3918107.285714286
2020-11-04,1217.5714285714287,3925630.4285714286
2020-11-05,1224.4285714285713,3858145.8571428573
2020-11-06,1241.4285714285713,3934508.0
2020-11-07,1250.7142857142858,3958777.8571428573
2020-11-08,1244.5714285714287,3939210.714285714
2020-11-09,1254.857142857143,4410587.428571428
2020-11-10,1265.142857142857,4397367.0
2020-11-11,1273.857142857143,4283741.857142857
2020-11-12,1281.4285714285713,4344509.714285715
2020-11-13,1289.5714285714287,4307777.857142857
2020-11-14,1306.7142857142858,4292280.857142857
2020-11-15,1338.857142857143,4369078.571428572
2020-11-16,1355.4285714285713,4363046.857142857
2020-11-17,1381.5714285714287,4360754.571428572
2020-11-18,1415.142857142857,4467438.428571428
2020-11-19,1455.2857142857142,4449348.714285715
2020-11-20,1496.2857142857142,4436971.428571428
2020-11-21,1528.0,4469866.428571428
2020-11-22,1567.857142857143,4416110.142857143
2020-11-23,1595.2857142857142,4283011.428571428
2020-11-24,1624.142857142857,4317494.285714285
2020-11-25,1652.5714285714287,4358234.285714285
2020-11-26,1667.4285714285713,4409933.714285715
2020-11-27,1681.2857142857142,4520261.714285715
2020-11-28,1697.5714285714287,4557718.857142857
2020-11-29,1700.0,4672493.285714285
2020-11-30,1729.7142857142858,4676349.142857143
2020-12-01,1747.142857142857,4674057.0
2020-12-02,1762.0,4683179.714285715
2020-12-03,1780.5714285714287,4701903.571428572
2020-12-04,1794.0,4693537.0
2020-12-05,1820.4285714285713,4702470.285714285
2020-12-06,1855.142857142857,4601889.0
2020-12-07,1865.142857142857,4603212.0
2020-12-08,1885.857142857143,4610922.571428572
2020-12-09,1898.142857142857,4621992.0
2020-12-10,1909.0,4634451.714285715
2020-12-11,1921.0,4639593.428571428
2020-12-12,1929.5714285714287,4647100.0
2020-12-13,1932.5714285714287,4658014.428571428
2020-12-14,1942.2857142857142,4716738.571428572
2020-12-15,1943.7142857142858,4734106.571428572
2020-12-16,1952.0,4732834.285714285
2020-12-17,1965.0,4730238.285714285
2020-12-18,1973.857142857143,4721351.142857143
2020-12-19,1966.5714285714287,4735002.714285715
2020-12-20,1960.0,4758578.571428572
2020-12-21,1960.2857142857142,4740699.857142857
2020-12-22,1961.4285714285713,4697509.428571428
2020-12-23,1954.857142857143,4608679.857142857
2020-12-24,1948.142857142857,4180809.285714286
2020-12-25,1940.142857142857,3494018.0
2020-12-26,1922.7142857142858,3246016.8571428573
2020-12-27,1912.5714285714287,3150177.8571428573
2020-12-28,1903.857142857143,3120043.1428571427
2020-12-29,1900.857142857143,2988652.285714286
2020-12-30,1891.5714285714287,2901442.8571428573
2020-12-31,1894.5714285714287,2891068.8571428573
2021-01-01,1890.5714285714287,2912549.4285714286
2021-01-02,1900.142857142857,2863600.4285714286
2021-01-03,1912.2857142857142,2862177.5714285714
2021-01-04,1921.4285714285713,2860624.1428571427
2021-01-05,1928.4285714285713,2817352.285714286
2021-01-06,1950.2857142857142,2882599.8571428573
2021-01-07,1949.2857142857142,3220561.1428571427
2021-01-08,1971.5714285714287,3805002.1428571427
2021-01-09,1993.857142857143,3965855.8571428573
2021-01-10,2007.0,3968007.1428571427
2021-01-11,2022.857142857143,4066016.4285714286
2021-01-12,2047.857142857143,4200085.571428572
2021-01-13,2068.714285714286,4236981.428571428
2021-01-14,2106.0,4252571.428571428
2021-01-15,2127.8571428571427,4227321.428571428
2021-01-16,2148.8571428571427,4236505.428571428
2021-01-17,2172.4285714285716,4253288.857142857
2021-01-18,2184.4285714285716,4249262.0
2021-01-19,2194.5714285714284,4260420.142857143
2021-01-20,2208.5714285714284,4269076.0
2021-01-21,2213.1428571428573,4269598.857142857
2021-01-22,2222.285714285714,4248831.0
2021-01-23,2232.0,4179607.714285714
2021-01-24,2240.1428571428573,4220291.285714285
2021-01-25,2243.8571428571427,3798202.4285714286
2021-01-26,2237.8571428571427,3819828.4285714286
2021-01-27,2218.8571428571427,3832033.714285714
2021-01-28,2206.285714285714,3854526.714285714
2021-01-29,2192.0,3933058.8571428573
2021-01-30,2180.0,3957146.714285714
2021-01-31,2166.285714285714,3898931.0
2021-02-01,2160.1428571428573,4329707.571428572
2021-02-03,2157.4285714285716,4300002.0
2021-02-04,2145.285714285714,4177207.4285714286
2021-02-05,2138.0,4221411.142857143
2021-02-06,2129.5714285714284,3976912.8571428573
2021-02-07,2126.0,3846440.285714286
2021-02-08,2118.8571428571427,4426415.0
2021-02-09,2108.4285714285716,4481707.428571428
2021-02-11,2084.5714285714284,4471334.142857143
2021-02-12,2075.0,4499468.714285715
2021-02-13,2069.0,4164160.8571428573
2021-02-14,2060.0,3921215.285714286
2021-02-15,2062.285714285714,4372002.285714285
2021-02-16,2073.8571428571427,4280142.0
2021-02-17,2089.5714285714284,4244563.714285715
2021-02-18,2115.0,4320611.285714285
2021-02-19,2139.285714285714,4450512.142857143
2021-02-20,2164.285714285714,4492374.142857143
2021-02-21,2186.1428571428573,4492986.857142857
2021-02-22,2212.5714285714284,4564115.285714285
2021-02-23,2227.4285714285716,4667361.142857143
2021-02-24,2253.5714285714284,4678651.571428572
2021-02-25,2276.0,4632910.142857143
2021-02-26,2302.285714285714,5245556.571428572
2021-02-27,2334.8571428571427,5137526.285714285
2021-02-28,2379.5714285714284,5077953.142857143
2021-03-01,2417.285714285714,5072980.714285715
2021-03-02,2469.1428571428573,5067365.857142857
2021-03-03,2532.0,5085342.142857143
2021-03-04,2603.1428571428573,5102897.0
2021-03-05,2681.4285714285716,4438614.285714285
2021-03-06,2763.0,4383819.285714285
2021-03-07,2843.285714285714,4349152.0
2021-03-08,2933.0,4256076.428571428
2021-03-09,3032.5714285714284,4156841.285714286
2021-03-10,3130.0,4062969.4285714286
2021-03-11,3229.285714285714,3961423.714285714
2021-03-12,3330.714285714286,3889135.8571428573
2021-03-13,3424.1428571428573,3940945.8571428573
2021-03-14,3535.1428571428573,3974061.714285714
2021-03-15,3639.5714285714284,3889383.714285714
2021-03-16,3738.0,3793413.8571428573
2021-03-17,3841.285714285714,3655602.4285714286
2021-03-18,3964.0,3569948.285714286
2021-03-19,4085.0,3494525.714285714
2021-03-20,4224.428571428572,3464011.4285714286
2021-03-21,4339.142857142857,3444039.714285714
2021-03-22,4460.142857142857,3430810.8571428573
2021-03-23,4570.285714285715,3430212.5714285714
2021-03-24,4674.285714285715,3464726.8571428573
2021-03-25,4749.428571428572,3486558.8571428573
2021-03-26,4821.285714285715,3390550.714285714
2021-03-27,4877.571428571428,3365652.4285714286
2021-03-28,4927.571428571428,3361063.1428571427
2021-03-29,4961.285714285715,3254532.285714286
2021-03-30,4990.285714285715,3153920.5714285714
2021-03-31,4998.714285714285,3082767.1428571427
2021-04-01,5010.142857142857,3003434.4285714286
2021-04-02,5014.0,2739255.1428571427
2021-04-03,5011.285714285715,2736562.5714285714
2021-04-04,5009.0,2750732.285714286
2021-04-05,5002.0,2882339.0
2021-04-06,4994.428571428572,2992373.714285714
2021-04-07,4978.0,3100178.4285714286
2021-04-08,4944.0,3209312.0
2021-04-09,4903.0,3608150.0
2021-04-10,4842.571428571428,3665671.714285714
2021-04-11,4789.428571428572,3667475.714285714
2021-04-12,4731.428571428572,3694099.4285714286
2021-04-13,4655.142857142857,3730008.8571428573
2021-04-14,4584.428571428572,3752148.4285714286
2021-04-15,4527.428571428572,3766845.5714285714
2021-04-16,4462.142857142857,3784294.5714285714
2021-04-17,4413.142857142857,3783009.0
2021-04-18,4338.857142857143,3793193.714285714
2021-04-19,4280.0,3812819.714285714
2021-04-20,4243.428571428572,3841207.285714286
2021-04-21,4204.0,3515069.4285714286
2021-04-22,4147.714285714285,3535753.4285714286
2021-04-23,4096.428571428572,3553543.285714286
2021-04-24,4038.8571428571427,3574611.8571428573
2021-04-25,3997.0,3562850.8571428573
2021-04-26,3952.285714285714,3597983.5714285714
2021-04-27,3893.1428571428573,3632159.4285714286
2021-04-28,3842.285714285714,4005103.8571428573
2021-04-29,3809.0,3991678.1428571427
2021-04-30,3771.714285714286,4018732.1428571427
2021-05-01,3735.5714285714284,3959964.1428571427
2021-05-02,3705.5714285714284,3970888.714285714
2021-05-03,3677.8571428571427,3987977.0
2021-05-04,3666.8571428571427,3997658.8571428573
2021-05-05,3651.4285714285716,3965867.285714286
2021-05-06,3620.285714285714,3980001.285714286
2021-05-07,3600.4285714285716,4001758.4285714286
2021-05-08,3587.0,4092093.8571428573
2021-05-09,3571.714285714286,4099690.8571428573
2021-05-10,3555.8571428571427,4005855.8571428573
2021-05-11,3531.1428571428573,3935115.8571428573
